wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
321.184,22.63,19.89,17.08,12.28,11.99,14.69,6.77,10.22,10.66,9.24
321.555,22.54,19.85,16.98,12.32,12.07,14.68,6.74,10.19,10.71,9.22
321.926,22.49,19.83,16.99,12.39,12.17,14.73,6.74,10.23,10.66,9.25
322.297,22.46,19.87,16.94,12.44,12.19,14.63,6.72,10.22,10.7,9.24
322.667,22.46,19.88,16.97,12.51,12.26,14.61,6.78,10.18,10.7,9.24
323.038,22.41,19.9,16.94,12.55,12.33,14.58,6.73,10.09,10.69,9.17
323.409,22.42,19.86,16.96,12.49,12.31,14.58,6.71,10.11,10.65,9.15
323.78,22.32,19.87,16.92,12.51,12.31,14.58,6.67,10.09,10.6,9.16
324.151,22.32,19.85,16.89,12.49,12.33,14.59,6.66,10.08,10.59,9.14
324.521,22.28,19.84,16.86,12.52,12.35,14.59,6.66,10.03,10.61,9.12
324.892,22.25,19.88,16.94,12.55,12.27,14.58,6.67,9.97,10.56,9.07
325.262,22.34,19.91,16.95,12.63,12.35,14.56,6.74,10.03,10.6,9.1
325.633,22.49,19.94,17.05,12.72,12.38,14.61,6.75,10.03,10.59,9.16
326.004,22.53,19.93,17,12.74,12.39,14.56,6.67,9.98,10.59,9.08
326.374,22.54,19.86,16.96,12.83,12.48,14.61,6.66,10.04,10.63,9.09
326.744,22.54,19.79,16.93,12.84,12.58,14.6,6.63,10.1,10.61,9.11
327.115,22.62,19.77,16.92,12.83,12.59,14.6,6.66,10.11,10.64,9.12
327.485,22.66,19.84,16.9,12.92,12.65,14.59,6.69,10.17,10.68,9.16
327.855,22.73,19.82,16.99,12.96,12.69,14.68,6.71,10.21,10.7,9.13
328.226,22.67,19.89,16.98,12.99,12.72,14.63,6.7,10.19,10.72,9.11
328.596,22.75,19.89,16.99,12.95,12.76,14.61,6.68,10.2,10.66,9.11
328.966,22.74,19.82,16.99,12.97,12.83,14.49,6.63,10.2,10.65,9.12
329.336,22.65,19.76,16.98,12.96,12.73,14.41,6.54,10.1,10.53,9
329.706,22.54,19.77,17.04,12.93,12.78,14.36,6.49,10.06,10.51,8.96
330.076,22.47,19.72,16.99,12.92,12.81,14.31,6.45,10.07,10.49,8.93
330.447,22.53,19.81,16.95,12.88,12.82,14.32,6.4,10.01,10.41,8.89
330.816,22.54,19.83,16.92,12.86,12.76,14.27,6.39,9.91,10.28,8.82
